Date,Open,High,Low,Close,Volume
2025-07-21,559.3959,563.3468,559.366,561.4659,39595200
2025-07-22,561.5952,561.645,555.9325,558.5599,43270600
2025-07-23,559.6446,561.1473,556.8978,561.1075,40215300
2025-07-24,562.4213,563.526,560.5901,562.3019,42275500
2025-07-25,562.2223,564.979,561.5655,563.6554,30630800
2025-07-28,565.0187,566.3125,564.1529,565.4168,31498700
2025-07-29,568.0243,569.3678,563.8146,564.5411,45463300
2025-07-30,565.4567,567.885,562.3417,565.2975,43433800
2025-07-31,571.7862,571.8758,561.1673,562.3019,64613600
2025-08-01,556.1514,556.3405,549.0357,551.2252,69400800
2025-08-04,556.3704,561.6152,556.2709,561.3962,47669800
2025-08-05,562.68,563.8444,557.0471,557.5845,48666600
2025-08-06,558.4205,565.0387,557.9428,564.6008,41823700
2025-08-07,568.9299,570.572,562.4013,566.5115,44463000
2025-08-08,567.7158,572.0151,567.4172,571.7961,35255500
2025-08-11,571.9354,574.0353,568.8304,570.1042,33112900
2025-08-12,572.4031,577.5683,569.746,577.2697,42143300
2025-08-13,579.9667,580.524,576.165,577.5583,41209300
2025-08-14,575.5083,579.091,575.14,577.1106,45425000
2025-08-15,577.0209,577.0608,572.8112,574.5728,49480200
2025-08-18,573.677,575.0007,572.4828,574.3438,29831000
2025-08-19,573.6273,573.7965,565.5263,566.5514,53752600
2025-08-20,565.606,565.7254,556.1615,563.1876,76781100
2025-08-21,561.645,563.7747,558.2911,560.5801,46436900
2025-08-22,561.9635,571.2388,560.5702,569.2285,51502100
2025-08-25,567.666,570.5421,566.4319,567.5864,34044700
2025-08-26,567.0988,570.1739,566.0737,569.8654,34103000
2025-08-27,568.8504,571.6568,567.6362,570.7412,36927100
2025-08-28,571.3582,575.2295,569.7161,574.314,46787900
2025-08-29,571.9055,572.2738,565.8149,567.666,56030400
2025-09-02,558.6196,563.2572,556.8581,562.9089,65876800
2025-09-03,566.5016,568.9598,564.0136,567.3376,54230200
2025-09-04,568.0044,572.8411,566.3026,572.4728,47526300
2025-09-05,577.7076,578.3346,568.7906,573.2988,68342500
2025-09-08,575.5978,578.056,575.0007,576.0954,46371400
2025-09-09,576.8916,578.1555,574.2742,577.7276,44007600
2025-09-10,580.942,580.9719,575.7769,577.9166,49308000
2025-09-11,580.4444,582.0765,578.8322,581.2804,44745800
2025-09-12,582.2357,585.0422,581.3002,583.848,50745900
2025-09-15,585.6195,588.9534,585.4702,588.8439,44360300
2025-09-16,589.7695,590.0183,587.6597,588.3464,36942100
2025-09-17,588.2668,588.9137,581.5691,587.1721,69384800
2025-09-18,592.0584,595.273,590.1178,592.4665,61069300
2025-09-19,594.4669,597.1738,592.9939,596.4772,58196100
2025-09-22,595.5646,600.6759,595.5446,600.0084,57154800
2025-09-23,600.1778,600.377,594.8074,596.0229,64635500
2025-09-24,597.3979,597.7168,591.2005,593.9305,49850300
2025-09-25,590.0448,592.9541,586.3582,591.3699,70920200
2025-09-26,592.1869,594.1298,588.9089,593.801,54337400
2025-09-29,596.9296,599.8589,595.2358,596.551,48332900
2025-09-30,596.2521,598.5238,593.9305,598.185,46533800
2025-10-01,594.9966,601.5925,594.1697,601.0545,46899600
2025-10-02,604.8507,604.9503,600.7357,603.5255,43765400
2025-10-03,604.3027,605.1197,599.2013,600.9848,46482100
2025-10-06,606.2356,607.1422,603.7646,605.4983,41962100
2025-10-07,606.8036,607.4911,600.8354,602.31,58209500
2025-10-08,603.2066,609.5236,603.0572,609.2147,50629800
2025-10-09,609.2545,609.3841,605.2691,608.4774,45551000
2025-10-10,609.1749,610.9484,586.9062,587.3546,97614800
2025-10-13,597.4975,600.7556,595.0564,599.819,65872600
2025-10-14,593.1435,600.4966,587.9823,595.8237,69203200
2025-10-15,601.8118,604.492,593.7612,600.0283,62805500
2025-10-16,602.9078,606.0961,593.3327,597.8064,70982000
2025-10-17,595.7738,603.3063,594.1996,601.7321,72024900
2025-10-20,604.9303,610.5697,604.8606,609.3143,45761700
2025-10-21,609.414,610.4901,607.1025,609.155,44538200
2025-10-22,608.597,609.1848,597.5573,603.2864,61478800
2025-10-23,602.7085,609.145,602.32,608.3579,42844300
2025-10-24,613.7482,616.1693,612.8913,614.8541,47632500
2025-10-27,622.2472,626.2625,621.759,625.8042,54098600
2025-10-28,628.0658,632.3701,626.9599,630.6165,61195700
2025-10-29,633.2769,634.6917,627.9563,633.4562,67422800
2025-10-30,629.8693,631.1945,623.662,623.7716,61628600
2025-10-31,631.862,631.8919,624.4092,626.7806,66305100
2025-11-03,632.7985,633.5059,627.5576,629.7795,37154300
2025-11-04,621.0117,624.6683,616.2092,616.9963,63830800
2025-11-05,616.2391,624.3196,614.9638,621.0117,48688500
2025-11-06,619.5271,619.7762,608.0789,609.4439,72115100
2025-11-07,606.0961,607.7301,596.4912,607.5209,81835400
2025-11-10,616.6675,622.0379,614.6449,620.9618,55919900
2025-11-11,618.3115,620.4536,615.2726,619.3079,44868800
2025-11-12,622.566,622.5859,615.5615,618.8196,47444400
2025-11-13,615.2925,615.8704,603.8743,606.1859,71333600
2025-11-14,597.368,611.1178,594.9966,606.6441,80087300
2025-11-17,604.0934,610.2509,597.6868,601.463,63850400
2025-11-18,597.4378,600.118,589.1879,594.1398,83327300
2025-11-19,594.897,603.9539,592.4261,597.6868,73111500
2025-11-20,609.3941,611.7953,582.6219,583.5385,117743200
2025-11-21,585.3319,594.8073,578.6264,587.9225,103344200
2025-11-24,593.1136,604.4721,592.994,602.9576,60168100
2025-11-25,601.3136,608.039,595.1461,606.674,57560900
2025-11-26,610.2808,613.9474,608.1685,612.0344,42393600
2025-11-28,613.8678,617.0661,613.1803,616.9963,23034400
2025-12-01,611.3967,617.1856,610.2908,614.9238,40957600
2025-12-02,617.2056,621.48,615.3424,619.7363,54541800
2025-12-03,617.365,621.9482,615.7808,621.2508,47841600
2025-12-04,622.6557,622.6656,617.2853,620.6729,47067800
2025-12-05,622.1076,626.6311,621.4401,623.2036,53614200
2025-12-08,624.9274,626.5515,619.4275,622.0081,43462400
2025-12-09,620.7427,623.5922,618.74,622.7752,37156000
2025-12-10,621.5795,626.9201,618.73,625.3259,55031400
2025-12-11,621.5497,623.5026,615.4718,623.3033,58272800
2025-12-12,619.816,621.2707,609.135,611.3868,75158700
2025-12-15,616.1195,616.1693,607.1025,608.318,49538200
2025-12-16,606.0463,611.2772,604.7012,609.5236,55152800
2025-12-17,610.8288,611.4167,598.0953,598.2248,70654300
2025-12-18,607.5807,610.6993,604.7112,606.8932,78875800
2025-12-19,609.7228,615.3722,609.6431,614.8043,60369800
2025-12-22,619.8863,620.1856,616.3147,617.7513,43703100
2025-12-23,616.7437,620.9438,616.3247,620.6445,41120400
2025-12-24,620.5248,622.8094,620.2554,622.4602,18468700
2025-12-26,623.1885,624.0465,621.6721,622.4203,28959800
2025-12-29,618.6392,621.3129,617.2724,619.4074,32458300
2025-12-30,618.3798,620.7143,617.7612,617.9708,31226800
2025-12-31,618.1903,618.4996,612.6035,612.8629,40746500
2026-01-02,618.5993,621.3827,608.7127,611.6757,61859200
2026-01-05,617.8611,619.3475,615.2672,616.5342,46828400
2026-01-06,617.7713,622.55,617.0829,621.9514,43137500
2026-01-07,621.5723,626.4608,621.0935,622.55,44880300
2026-01-08,621.5624,621.9514,616.3447,619.0084,50435900
2026-01-09,619.9461,626.4109,617.6017,625.1738,49688700
2026-01-12,620.844,627.3686,620.7942,625.6926,37388700
2026-01-13,625.7924,627.9871,622.2308,624.7648,44481400
2026-01-14,620.7742,621.9814,613.1123,618.0905,72598700
2026-01-15,625.1239,628.5159,619.2877,620.3153,53934900
